id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
7119,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '4', 'a': '3'}","{'h': '2.54329', 'a': '1.46495'}",2017-08-11 19:45:00,"{'w': 0.6092302567690285, 'd': 0.182067751398892, 'l': 0.20870190582942225}",w,83
7135,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '0.692644', 'a': '1.40658'}",2017-08-19 17:30:00,"{'w': 0.1839560825466319, 'd': 0.274376694899778, 'l': 0.5416672225193253}",l,83
7148,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '4', 'a': '0'}","{'h': '3.45998', 'a': '0.484816'}",2017-08-27 16:00:00,"{'w': 0.9074829063617238, 'd': 0.06826069647471707, 'l': 0.024252673621210828}",l,83
7152,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '0'}","{'h': '2.48732', 'a': '0.577291'}",2017-09-09 15:00:00,"{'w': 0.7918644648382811, 'd': 0.1419493963662411, 'l': 0.06618607396254939}",w,83
7167,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '0.762129', 'a': '1.42208'}",2017-09-17 13:30:00,"{'w': 0.2008033351772343, 'd': 0.27188633402432866, 'l': 0.5273103307586251}",d,83
7178,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '0'}","{'h': '2.39316', 'a': '0.766652'}",2017-09-25 20:00:00,"{'w': 0.7347514817893073, 'd': 0.16417691551286864, 'l': 0.10107156303854521}",w,83
7186,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '0'}","{'h': '2.47818', 'a': '0.386343'}",2017-10-01 12:00:00,"{'w': 0.8329251578068874, 'd': 0.1261347318256753, 'l': 0.040940048495139006}",w,83
7198,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '1'}","{'h': '1.63418', 'a': '0.988468'}",2017-10-14 17:30:00,"{'w': 0.5247342179136102, 'd': 0.2466835380579962, 'l': 0.2285822437652632}",l,83
7200,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '5'}","{'h': '0.810989', 'a': '3.86029'}",2017-10-22 13:30:00,"{'w': 0.03750525446071865, 'd': 0.07135171298264577, 'l': 0.8911297335871156}",w,83
7209,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '2.37777', 'a': '0.8355'}",2017-10-28 15:00:00,"{'w': 0.716486911024244, 'd': 0.1697653050717486, 'l': 0.11374774738485711}",w,83
