id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
18204,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '0.588341', 'a': '0.488895'}",2022-08-06 14:00:00,"{'w': 0.3098216297834492, 'd': 0.44575881304577686, 'l': 0.24441955717077363}",w,73
18214,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '0'}","{'h': '1.69064', 'a': '0.123946'}",2022-08-13 14:00:00,"{'w': 0.7773482442958518, 'd': 0.19887233213257346, 'l': 0.023779423156444365}",l,73
18227,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '3'}","{'h': '0.211335', 'a': '1.71081'}",2022-08-20 16:30:00,"{'w': 0.040797150344819746, 'd': 0.20416295131769757, 'l': 0.7550398978507527}",l,73
18236,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '9', 'a': '0'}","{'h': '4.86035', 'a': '0.180991'}",2022-08-27 14:00:00,"{'w': 0.9843848250519368, 'd': 0.013532204829857283, 'l': 0.0019148661624169027}",l,73
18248,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '0.362035', 'a': '1.53246'}",2022-08-31 18:30:00,"{'w': 0.08431801714876094, 'd': 0.2461454746328843, 'l': 0.6695365081081391}",d,73
18254,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '3'}","{'h': '1.32895', 'a': '0.905041'}",2022-09-03 14:00:00,"{'w': 0.4650154032095068, 'd': 0.28023328592273994, 'l': 0.25475131085196073}",w,73
18275,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '1.54758', 'a': '0.976948'}",2022-09-17 14:00:00,"{'w': 0.5058094265272763, 'd': 0.2554275574465684, 'l': 0.23876301590002183}",d,73
18283,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '0'}","{'h': '0.758128', 'a': '1.046'}",2022-10-01 14:00:00,"{'w': 0.26001292917084234, 'd': 0.3234373711580564, 'l': 0.416549699670531}",d,73
18293,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '1.14891', 'a': '1.18125'}",2022-10-08 14:00:00,"{'w': 0.3513274190471922, 'd': 0.28145793578137096, 'l': 0.367214645166261}",w,73
18304,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '1.61738', 'a': '1.62829'}",2022-10-15 14:00:00,"{'w': 0.38148300685911846, 'd': 0.23240250522887693, 'l': 0.386114487432937}",d,73
18313,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '0.810452', 'a': '1.23878'}",2022-10-19 18:30:00,"{'w': 0.2426764620589416, 'd': 0.29450227763312287, 'l': 0.4628212603019602}",l,73
